Index,Reaction1,Reaction2,Catalyst1,Catalyst2,Product,Yield,ee
21,[H]C(CCCCC#C)=O,CC1=CC=C(C(CBr)=O)C=C1,[O-]C1=C(Br)C(O2)=C(C=C1Br)C(C3=C(C([O-])=O)C=CC=C3)C(C=C4Br)C2=C(Br)C4=O.[Na+].[Na+],N[C@H]([C@@H](NS(=O)(C1=CC=C(C)C=C1)=O)C2=CC=CC=C2)C3=CC=CC=C3,[H]C([C@H](CCCC#C)CC(C1=CC=C(C)C=C1)=O)=O,0.22385326958176366,0.768697233794125
22,[H]C(CCCCC#C)=O,CC1=CC=C(C(CBr)=O)C=C1,CC/[N+](CC)=C1C=CC2=C(C3=CC=CC=C3C(O)=O)C4=C(C=C(N(CC)CC)C=C4)OC2=C.[Cl-],N[C@H]([C@@H](NS(=O)(C1=CC=C(C)C=C1)=O)C2=CC=CC=C2)C3=CC=CC=C3,[H]C([C@H](CCCC#C)CC(C1=CC=C(C)C=C1)=O)=O,0.12061534861599336,0.762533782506851
23,[H]C(CCCCC#C)=O,CC1=CC=C(C(CBr)=O)C=C1,CN(C1=CC2=[S+]C3=C(C=CC(N(C)C)=C3)N=C2C=C1)C.[Cl-],N[C@H]([C@@H](NS(=O)(C1=CC=C(C)C=C1)=O)C2=CC=CC=C2)C3=CC=CC=C3,[H]C([C@H](CCCC#C)CC(C1=CC=C(C)C=C1)=O)=O,0.07496360841879145,0.726443632935988
24,[H]C(CCCCC#C)=O,CC1=CC=C(C(CBr)=O)C=C1,CC(C=C1)=CC=C1C2=NC(C3=CC=C(C)C=C3)=NC(C4=CC=C(C)C=C4)=N2,N[C@H]([C@@H](NS(=O)(C1=CC=C(C)C=C1)=O)C2=CC=CC=C2)C3=CC=CC=C3,[H]C([C@H](CCCC#C)CC(C1=CC=C(C)C=C1)=O)=O,0.12444732384834727,0.718837926346357
25,[H]C(CCCCC#C)=O,CC1=CC=C(C(CBr)=O)C=C1,COC(C=C1)=CC=C1C2=NC(C3=CC=C(OC)C=C3)=NC(C4=CC=C(OC)C=C4)=N2,N[C@H]([C@@H](NS(=O)(C1=CC=C(C)C=C1)=O)C2=CC=CC=C2)C3=CC=CC=C3,[H]C([C@H](CCCC#C)CC(C1=CC=C(C)C=C1)=O)=O,0.16217231146087135,0.790752900158941
26,[H]C(CCCCC#C)=O,CC1=CC=C(C(CBr)=O)C=C1,CC1=CC2=C(C=C1C)N=C(C(N2C[C@@H](OC(CCC)=O)[C@@H](OC(CCC)=O)[C@@H](OC(CCC)=O)COC(CCC)=O)=N3)C(NC3=O)=O,N[C@H]([C@@H](NS(=O)(C1=CC=C(C)C=C1)=O)C2=CC=CC=C2)C3=CC=CC=C3,[H]C([C@H](CCCC#C)CC(C1=CC=C(C)C=C1)=O)=O,0.07603546389034825,0.721074329102279
27,[H]C(CCCCC#C)=O,O=C(CBr)C1=CC=C(OC)C=C1,FC1=CC(F)=C(C2=CC=C(C(F)(F)F)C=[N+]2[Ir-3]345([N+]6=CC=C(C(C)(C)C)C=C6C7=[N+]5C=CC(C(C)(C)C)=C7)[N+]8=CC(C(F)(F)F)=CC=C8C9=C(F)C=C(F)C=C94)C3=C1.F[P-](F)(F)(F)(F)F,N[C@H]([C@@H](NS(=O)(C1=CC=C(C)C=C1)=O)C2=CC=CC=C2)C3=CC=CC=C3,[H]C([C@H](CCCC#C)CC(C1=CC=C(OC)C=C1)=O)=O,0.232696596153347,0.762742920495574
28,[H]C(CCCCC#C)=O,O=C(CBr)C1=CC=C(OC)C=C1,C1(C2=CC=CC=[N+]23)=CC=CC=C1[Ir-3]435(C6=CC=CC=C6C7=CC=CC=[N+]75)[N+]8=CC=CC=C8C9=CC=CC=C94,N[C@H]([C@@H](NS(=O)(C1=CC=C(C)C=C1)=O)C2=CC=CC=C2)C3=CC=CC=C3,[H]C([C@H](CCCC#C)CC(C1=CC=C(OC)C=C1)=O)=O,0.6052044905955709,0.723723010168095
29,[H]C(CCCCC#C)=O,O=C(CBr)C1=CC=C(OC)C=C1,F[P-](F)(F)(F)(F)F.C1(C2=CC=CC=[N+]23)=CC=CC=C1[Ir-3]435([N+]6=CC=CC=C6C7=CC=CC=[N+]75)[N+]8=CC=CC=C8C9=CC=CC=C94,N[C@H]([C@@H](NS(=O)(C1=CC=C(C)C=C1)=O)C2=CC=CC=C2)C3=CC=CC=C3,[H]C([C@H](CCCC#C)CC(C1=CC=C(OC)C=C1)=O)=O,0.29449366543871636,0.740701486201455
30,[H]C(CCCCC#C)=O,O=C(CBr)C1=CC=C(OC)C=C1,FC1=CC(F)=C(C2=[N+]3C=CC=C2)C([Ir-3]435(C6=CC(F)=CC(F)=C6C7=[N+]5C=CC=C7)C8=CC(F)=CC(F)=C8C9=[N+]4C=CC=C9)=C1,N[C@H]([C@@H](NS(=O)(C1=CC=C(C)C=C1)=O)C2=CC=CC=C2)C3=CC=CC=C3,[H]C([C@H](CCCC#C)CC(C1=CC=C(OC)C=C1)=O)=O,0.3166333334640448,0.689720418937153
